PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
270.0,176.0,65.0,8.402852049910873,16.427413411938097,45.0,33.0,270.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,12.0,38.0,306.0
366.0,253.0,32.0,19.0,5.0,27.0,25.0,366.0
341.0,141.6742671009772,106.0,8.402852049910873,9.0,26.0,48.0,341.0
323.0,249.0,73.0,8.0,7.0,16.0,58.0,323.0
317.0,233.0,54.0,12.0,11.0,51.0,56.0,317.0
289.0,151.0,42.0,10.0,9.0,41.0,108.0,289.0
360.0,270.0,21.0,13.0,15.0,44.0,73.0,360.0
372.0,298.0,34.0,15.0,12.0,79.0,10.0,372.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,78.0,14.0,306.0
333.0,266.0,85.0,12.0,15.0,111.0,64.0,333.0
344.0,252.0,59.0,10.0,16.0,55.0,8.0,344.0
275.0,181.0,7.0,8.402852049910873,16.427413411938097,78.0,35.0,275.0
371.0,258.0,54.0,19.0,18.0,45.0,19.0,371.0
316.0,243.0,73.0,8.402852049910873,16.427413411938097,15.0,25.0,316.0
343.0,270.0,36.0,5.0,5.0,73.0,29.0,343.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,55.0,2.0,306.0
350.0,332.0,68.0,7.0,14.0,77.0,15.0,350.0
301.0,206.0,47.0,8.402852049910873,16.427413411938097,72.0,11.0,301.0
238.0,141.6742671009772,90.0,11.0,16.427413411938097,42.0,29.813642756680732,238.0
307.0,157.0,62.0,3.0,8.0,80.0,11.0,307.0
379.0,306.0,203.0,20.0,16.427413411938097,89.0,3.0,379.0
314.0,213.0,108.0,8.402852049910873,19.0,68.0,10.0,314.0
253.0,178.0,42.0,8.402852049910873,16.427413411938097,97.0,18.0,253.0
315.0,202.0,97.0,13.0,18.0,67.0,10.0,315.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,80.0,5.0,306.0
350.0,231.0,44.0,18.0,15.0,72.0,29.813642756680732,350.0
320.0,141.6742671009772,46.0,8.402852049910873,12.0,35.0,12.0,320.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,39.0,17.0,306.0
322.0,141.6742671009772,57.0,13.0,16.427413411938097,57.0,32.0,322.0
364.0,251.0,62.0,17.0,14.0,73.0,9.0,364.0
287.0,201.0,40.0,8.402852049910873,16.427413411938097,82.0,6.0,287.0
322.0,220.0,81.0,11.0,19.0,95.0,11.0,322.0
312.0,213.0,31.0,21.0,5.0,70.0,6.0,312.0
310.0,192.0,72.0,9.0,20.0,76.0,8.0,310.0
342.0,237.0,76.0,16.0,16.0,83.0,10.0,342.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,62.0,22.0,306.0
272.0,217.0,88.0,6.0,18.0,56.0,17.0,272.0
354.0,228.0,34.0,17.0,6.0,56.0,8.0,354.0
340.0,141.6742671009772,109.0,8.402852049910873,9.0,72.0,7.0,340.0
328.0,245.0,86.0,9.0,8.0,94.0,20.0,328.0
318.0,219.0,52.0,13.0,11.0,77.0,19.0,318.0
297.0,151.0,56.0,10.0,10.0,58.0,26.0,297.0
349.0,247.0,22.0,12.0,21.0,76.0,12.0,349.0
366.0,271.0,32.0,14.0,12.0,99.0,8.0,366.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,62.0,23.0,306.0
348.0,270.0,84.0,12.0,15.0,105.0,63.0,348.0
349.0,253.0,58.0,11.0,15.0,43.0,11.0,349.0
278.0,186.0,7.0,8.402852049910873,16.427413411938097,74.0,39.0,278.0
378.0,268.0,57.0,19.0,20.0,46.0,26.0,378.0
322.0,243.0,77.0,8.402852049910873,16.427413411938097,10.0,28.0,322.0
348.0,267.0,36.0,5.0,5.0,56.0,40.0,348.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,49.0,2.0,306.0
361.0,346.0,70.0,7.0,15.0,66.0,24.0,361.0
307.0,210.0,46.0,8.402852049910873,16.427413411938097,59.0,12.0,307.0
241.0,141.6742671009772,91.0,11.0,16.427413411938097,42.0,29.813642756680732,241.0
315.0,159.0,63.0,3.0,8.0,77.0,15.0,315.0
381.0,301.0,206.0,20.0,16.427413411938097,92.0,3.0,381.0
329.0,217.0,111.0,8.402852049910873,19.0,52.0,17.0,329.0
274.0,184.0,43.0,8.402852049910873,16.427413411938097,91.0,22.0,274.0
329.0,209.0,100.0,13.0,18.0,69.0,10.0,329.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,77.0,6.0,306.0
360.0,235.0,44.0,18.0,15.0,69.0,29.813642756680732,360.0
329.0,141.6742671009772,47.0,8.402852049910873,12.0,37.0,17.0,329.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,38.0,26.0,306.0
337.0,141.6742671009772,59.0,13.0,16.427413411938097,53.0,39.0,337.0
370.0,253.0,63.0,17.0,17.0,61.0,15.0,370.0
300.0,207.0,41.0,8.402852049910873,16.427413411938097,77.0,6.0,300.0
333.0,223.0,80.0,11.0,21.0,89.0,19.0,333.0
325.0,218.0,31.0,22.0,4.0,66.0,13.0,325.0
318.0,195.0,74.0,10.0,22.0,74.0,9.0,318.0
356.0,242.0,70.0,16.0,16.0,78.0,18.0,356.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,52.0,20.0,306.0
276.0,219.0,91.0,6.0,18.0,39.0,17.0,276.0
360.0,232.0,35.0,17.0,6.0,41.0,11.0,360.0
348.0,141.6742671009772,110.0,8.402852049910873,9.0,65.0,10.0,348.0
336.0,250.0,88.0,9.0,8.0,79.0,22.0,336.0
335.0,224.0,53.0,13.0,11.0,69.0,24.0,335.0
308.0,154.0,61.0,10.0,10.0,52.0,35.0,308.0
359.0,250.0,22.0,12.0,20.0,69.0,21.0,359.0
368.0,271.0,32.0,13.0,12.0,95.0,8.0,368.0
302.0,169.0,51.0,6.0,18.0,52.0,21.0,302.0
338.0,248.0,79.0,12.0,19.0,99.0,74.0,338.0
336.0,233.0,53.0,11.0,15.0,26.0,11.0,336.0
259.0,175.0,8.0,8.402852049910873,16.427413411938097,75.0,35.0,259.0
366.0,254.0,55.0,18.0,19.0,54.0,21.0,366.0
299.0,221.0,81.0,8.402852049910873,16.427413411938097,2.0,13.0,299.0
333.0,240.0,33.0,5.0,5.0,46.0,42.0,333.0
182.89870689655172,141.6742671009772,57.0,4.0,25.0,46.0,2.0,306.0
352.0,321.0,67.0,7.0,14.0,60.0,20.0,352.0
287.0,197.0,42.0,8.402852049910873,16.427413411938097,48.0,11.0,287.0
221.0,141.6742671009772,84.0,11.0,16.427413411938097,35.0,29.813642756680732,221.0
305.0,153.0,62.0,3.0,8.0,70.0,12.0,305.0
356.0,259.0,208.0,20.0,16.427413411938097,82.0,3.0,356.0
311.0,201.0,105.0,8.402852049910873,19.0,41.0,19.0,311.0
261.0,186.0,42.0,8.402852049910873,16.427413411938097,82.0,19.0,261.0
333.0,214.0,97.0,13.0,18.0,48.0,10.0,333.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,51.0,7.0,306.0
350.0,226.0,44.0,18.0,15.0,66.0,29.813642756680732,350.0
325.0,141.6742671009772,48.0,8.402852049910873,13.0,24.0,14.0,325.0
308.0,164.0,42.0,11.0,8.0,39.0,22.0,308.0
324.0,141.6742671009772,59.0,14.0,16.427413411938097,48.0,31.0,324.0
355.0,228.0,61.0,17.0,19.0,54.0,14.0,355.0
298.0,214.0,42.0,8.402852049910873,16.427413411938097,72.0,6.0,298.0
325.0,214.0,73.0,11.0,21.0,77.0,19.0,325.0
309.0,205.0,30.0,21.0,5.0,44.0,16.0,309.0
310.0,188.0,72.0,10.0,24.0,67.0,9.0,310.0
341.0,218.0,62.0,16.0,16.0,52.0,18.0,341.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,42.0,18.0,306.0
256.0,205.0,86.0,6.0,18.0,37.0,17.0,256.0
350.0,229.0,34.0,17.0,6.0,35.0,9.0,350.0
349.0,141.6742671009772,107.0,8.402852049910873,12.0,57.0,10.0,349.0
324.0,239.0,84.0,9.0,8.0,55.0,29.0,324.0
330.0,213.0,51.0,13.0,11.0,62.0,21.0,330.0
295.0,147.0,59.0,10.0,11.0,49.0,27.0,295.0
346.0,233.0,21.0,11.0,18.0,47.0,18.0,346.0
361.0,258.0,29.0,13.0,12.0,93.0,7.0,361.0
293.0,164.0,49.0,6.0,18.0,52.0,19.0,293.0
336.0,239.0,78.0,11.0,22.0,99.0,76.0,336.0
331.0,227.0,52.0,11.0,15.0,27.0,9.0,331.0
252.0,174.0,8.0,8.402852049910873,16.427413411938097,76.0,33.0,252.0
361.0,248.0,55.0,18.0,20.0,56.0,17.0,361.0
294.0,213.0,81.0,8.402852049910873,16.427413411938097,3.0,12.0,294.0
326.0,234.0,32.0,5.0,5.0,47.0,38.0,326.0
